App,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,com.greencabbage.patch.activity.DISCLAIMER,com.greencabbage.patch.activity.SHARE,android.permission.SET_WALLPAPER_HINTS,android.permission.INTERNET,android.permission.SET_WALLPAPER,android.intent.category.DEFAULT,android.intent.action.MAIN,android.permission.READ_PHONE_STATE,com.greencabbage.patch.activity.RATE,android.permission.ACCESS_WIFI_STATE,com.greencabbage.patch.STARTINGPOINT,com.greencabbage.patch.activity.FEEDBACK,android.permission.WAKE_LOCK,android.intent.category.LAUNCHER,com.greencabbage.patch.activity.MENU,Type
air.net.ozonedevelopment.PregnantMermaidBirthSecondBaby,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
com.BDPlus.ChoromGoromJokes,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
love.theme.anime.girl.valentine.day.lock.theme.l450000824,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0
view.manga.xyz.mangaview,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
ABradio Czech Depeche Mode_v2_apkpure.com,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1
com.BDPlus.ChoromGoromJokes,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
com.Facultad.Learning,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
